Class,Title,FLSA,Grade,"Hourly
Minimum","Hourly
Midpoint","Hourly
Maximum","Annual
Minimum","Annual
Midpoint","Annual
Maximum"
440,Management & Finance Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
1506,Management Analyst,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
1505,Management Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
1628,Media Relations/Communications Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
1513,Mgt Intern I (Cohort),NEX,MI_3,$26.74,$32.31,$37.87,"$55,619.20","$67,194.40","$78,769.60"
1530,Mgt Intern I (Non-Cohort),NEX,MI_1,$18.94,$24.51,$30.08,"$39,395.20","$50,980.80","$62,566.40"
1514,Mgt Intern II (DTS Cohort),NEX,MI_4,$32.30,$37.87,$43.43,"$67,184.00","$78,759.20","$90,334.40"
1531,Mgt Intern II (DTS Non-Cohort),NEX,MI_2,$22.28,$27.85,$33.42,"$46,342.40","$57,928.00","$69,513.60"
2822,Motorized Vehicle Operator II,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
2823,Motorized Vehicle Operator III,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
2824,Motorized Vehicle Operator IV,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
2623,Multi Skilled Wastewater Plant Operator (Senior),NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
2621,Multi-Skilled Wastewater Plant Operator,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
7510,Natural Resources Specialist,EX,MAR10_10,$32.20,$40.69,$49.17,"$66,976.00","$84,624.80","$102,273.60"
3601,Neighborhood Conservation Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
335,Neighborhood Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1024,Network Analyst,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
6111,Nurse Manager,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6116,Nurse Practitioner,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6741,Nutrition Assistant,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
6684,Nutritionist II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
6685,Nutritionist III,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
1259,Office Aide I,NEX,1,$12.86,$16.25,$19.64,"$26,748.80","$33,800.00","$40,851.20"
1260,Office Aide II,NEX,2,$13.95,$17.63,$21.30,"$29,016.00","$36,660.00","$44,304.00"
1277,Office Supervisor I,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
1278,Office Supervisor II,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
9412,Paralegal I B,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
9414,Paralegal II,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
7505,Park Manager,EX,60,$31.29,$42.57,$53.84,"$65,083.20","$88,535.20","$111,987.20"
7511,Park Naturalist,NEX,MAR15_8,$29.10,$36.76,$44.42,"$60,528.00","$76,460.80","$92,393.60"
7516,Park Naturalist Aide,NEX,MAR5_4,$18.25,$23.05,$27.84,"$37,960.00","$47,933.60","$57,907.20"
7507,Park Ranger I,NEX,MAR20_5,$23.27,$29.41,$35.54,"$48,401.60","$61,162.40","$73,923.20"
7508,Park Ranger II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
720,Parks & Recreation Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
7565,Parks Capital Program Manager,EX,MAR15_13,$40.56,$51.24,$61.92,"$84,364.80","$106,579.20","$128,793.60"
724,Parks Planning Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
725,Parks/Natural Resources Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
6735,Peer Recovery Specialist,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
5307,Permit Administration Manager,EX,MAR15_14,$42.69,$53.94,$65.19,"$88,795.20","$112,195.20","$135,595.20"
1006,Permit Arlington IT Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
1184,Permit Arlington Program Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1186,Permit Arlington Project Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
8214,Permit Coordinator,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
5316,Permit Processing Specialist I,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
5317,Permit Processing Specialist II,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
5315,Permit Processing Specialist III,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
7236,Personal Trainer II,NEX,MAR20_8,$30.37,$38.36,$46.35,"$63,169.60","$79,788.80","$96,408.00"
6100,Physician,EX,XMAP3,$91.89,$126.27,$160.64,"$191,131.20","$262,631.20","$334,131.20"
6370,Physician Assistant,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
621,Physician Supervisor,EX,XMAP3,$91.89,$126.27,$160.64,"$191,131.20","$262,631.20","$334,131.20"
3115,"Planner, Associate",EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
3119,"Planner, Principal",EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
3612,Planning & Community Dev Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
310,Planning Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3100,Planning Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
3153,Planning Technician,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
205,Plant (WPC) Bureau Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
2682,Plant Machinist,NEX,MAR15_9,$31.33,$39.60,$47.87,"$65,166.40","$82,368.00","$99,569.60"
8112,Plant Maintenance Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
8111,Plant Operations Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
8116,Plant Planning and Reliability Supervisor,EX,MAR30_12,$43.32,$54.73,$66.14,"$90,105.60","$113,838.40","$137,571.20"
2689,Plant Planning Specialist,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
2522,Plumber,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
5004,Police Officer,NEX,P2,$29.01,$39.05,$49.09,"$60,340.80","$81,224.00","$102,107.20"
5006,Police Corporal,NEX,P3,$31.05,$41.79,$52.53,"$64,584.00","$86,923.20","$109,262.40"
5003,Police Sergeant,NEX,P5,$34.18,$46.00,$57.82,"$71,094.40","$95,680.00","$120,265.60"
5002,Police Lieutenant,NEX,P6,$56.00,$66.14,$76.27,"$116,480.00","$137,560.80","$158,641.60"
5001,Police Captain,EX,P7,$63.00,$74.48,$85.96,"$131,040.00","$154,918.40","$178,796.80"
501,Deputy Police Chief,EX,P8,$75.00,$87.77,$100.54,"$156,000.00","$182,561.60","$209,123.20"
500,Police Chief,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
2687,Power and Control Technician,NEX,MAR30_9,$35.41,$44.76,$54.11,"$73,652.80","$93,100.80","$112,548.80"
8515,Pretreatment Program Coordinator,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
8217,Principal Engineer,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
2560,Print Section Supervisor,EX,MAR10_13,$38.79,$49.01,$59.23,"$80,683.20","$101,940.80","$123,198.40"
1025,PRISM System Specialist,EX,MAR45_17,$61.25,$77.41,$93.56,"$127,400.00","$161,002.40","$194,604.80"
9130,Probate Clerk,EX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
9998,Probation and Parole Office,EX,None,,,,,,
9310,Probation Counselor (Schools),NEX,None,,,,,,
9302,Probation Counselor I,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
9303,Probation Counselor II,NEX,MAR15_9,$31.33,$39.60,$47.87,"$65,166.40","$82,368.00","$99,569.60"
9300,Probation Counselor Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
2685,Process Control Systems Technician,NEX,MAR40_9,$38.13,$48.20,$58.27,"$79,310.40","$100,256.00","$121,201.60"
1300,Procurement Officer,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
5403,Project Engineer,NEX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
8602,Project Management Coordinator,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1519,Project PEACE Coordinator,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
555,PS Communications & Emergency Management Dep Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
550,PS Communications & Emergency Management Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
7030,PSCEM Integrated Programs Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
6114,Psychiatric Nurse,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
6300,Psychiatrist,EX,XMAP3,$91.89,$126.27,$160.64,"$191,131.20","$262,631.20","$334,131.20"
6667,Public Assistance Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
9997,Public Defender,EX,None,,,,,,
6115,Public Health Assistant Division Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
6140,Public Health Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
625,Public Health Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
6671,Public Health Emergency Planner,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6113,Public Health Nurse,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6120,Public Health Nurse Coordinator,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
6110,Public Health Nurse Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6501,Public Health Planning Officer,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
5060,Public Safety Support Supervisor,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
1023,Public Safety Technology Manager,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1003,Public Safety Technology Specialist,EX,MAR25_11,$39.12,$49.45,$59.77,"$81,369.60","$102,845.60","$124,321.60"
1014,Public Safety Technology Supervisor,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
5025,Public Service Aide I,NEX,MAR35_3,$21.13,$26.71,$32.28,"$43,950.40","$55,546.40","$67,142.40"
5026,Public Service Aide II,NEX,MAR35_4,$23.46,$29.63,$35.79,"$48,796.80","$61,620.00","$74,443.20"
481,Purchasing Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
616,Quality and Administration Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
6371,Quality Assurance Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
4612,Real Estate Appraiser,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
4611,Real Estate Appraiser (Entry),NEX,52,$24.54,$35.17,$45.79,"$51,043.20","$73,143.20","$95,243.20"
4613,Real Estate Appraiser Supervisor,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
460,Real Estate Assessment Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3512,Real Estate Assistant Bureau Chief,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
3510,Real Estate Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
4620,Real Estate Records/Research Coord,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
3511,Real Estate Specialist,EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
1244,Records Assistant III,NEX,4,$17.37,$21.94,$26.51,"$36,129.60","$45,635.20","$55,140.80"
1245,Records Assistant IV,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
7230,Recreation Assistant I,NEX,R1,$15.09,$17.19,$19.28,"$31,387.20","$35,744.80","$40,102.40"
7231,Recreation Assistant II,NEX,R2,$16.05,$21.05,$26.04,"$33,384.00","$43,773.60","$54,163.20"
7232,Recreation Assistant III,NEX,R3,$17.91,$23.51,$29.10,"$37,252.80","$48,890.40","$60,528.00"
7233,Recreation Assistant IV,NEX,R5,$21.56,$28.31,$35.06,"$44,844.80","$58,884.80","$72,924.80"
7319,Recreation Instructor I,NEX,R4,$19.71,$25.87,$32.02,"$40,996.80","$53,799.20","$66,601.60"
7320,Recreation Instructor II,NEX,R6,$23.38,$30.67,$37.96,"$48,630.40","$63,793.60","$78,956.80"
7321,Recreation Instructor III,NEX,R7,$27.02,$35.48,$43.94,"$56,201.60","$73,798.40","$91,395.20"
7120,Recreation Services Supervisor,EX,92,$32.20,$45.72,$59.23,"$66,976.00","$95,087.20","$123,198.40"
7107,Recreation Supervisor (Play School),NEX,MAR20_8,$30.37,$38.36,$46.35,"$63,169.60","$79,788.80","$96,408.00"
2311,Recycling Specialist,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
3760,Regional Transportation Master Planner,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
6141,Rehab Therapist,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
9995,Retirement Officer,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4425,Revenue Analyst,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
1107,Risk Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
1171,Safety Program Coordinator,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
1174,Safety Specialist I,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
1175,Safety Specialist II,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
5061,School Crossing Guard I,NEX,MAR20_3,$18.78,$23.74,$28.70,"$39,062.40","$49,379.20","$59,696.00"
5062,School Crossing Guard II,NEX,MAR20_4,$20.85,$26.34,$31.82,"$43,368.00","$54,776.80","$66,185.60"
6680,School Health Aide,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
1176,Security Coordinator,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
5040,Security Guard I,NEX,4,$17.37,$21.94,$26.51,"$36,129.60","$45,635.20","$55,140.80"
5041,Security Guard II,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
1044,Senior Applications Developer,EX,MAR40_13,$49.38,$62.38,$75.38,"$102,710.40","$129,750.40","$156,790.40"
1043,Senior Applications Developer (Cloud),EX,MAR30_16,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1012,Senior Cloud Architect,EX,MAR40_18,$61.44,$77.65,$93.85,"$127,795.20","$161,501.60","$195,208.00"
1001,Senior Cybersecurity Engineer,EX,MAR40_18,$61.44,$77.65,$93.85,"$127,795.20","$161,501.60","$195,208.00"
1132,Senior Labor Relations Manager,EX,MAR35_14,$50.11,$63.32,$76.53,"$104,228.80","$131,705.60","$159,182.40"
7013,Senior Librarian,EX,MAR15_11,$35.99,$45.49,$54.99,"$74,859.20","$94,619.20","$114,379.20"
1507,Senior Management Analyst,EX,MAR25_12,$41.66,$52.63,$63.59,"$86,652.80","$109,460.00","$132,267.20"
1004,Senior Network Engineer,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
1331,Senior Procurement Officer,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
1002,Senior Public Safety Technology Specialist,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1047,Senior Systems Administrator,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1455,Services Assistant IV,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
521,Sheriff Chief Deputy,EX,S9,$78.00,$89.27,$100.54,"$162,240.00","$185,681.60","$209,123.20"
520,Sheriff,EX,CONST,,,,,,
6700,Sign Language Interpreter,NEX,SLI,$25.00,$37.50,$50.00,,,
3606,Site Plan Review Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
204,Solid Waste Bureau Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3154,Space Planner,EX,11,$31.29,$39.55,$47.81,"$65,083.20","$82,264.00","$99,444.80"
1013,Sr Infrastructure Support Specialist,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1007,Sr IT Analyst,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1511,Sr Staff Admin/Management Specialist,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
4417,Sr Staff Financial Analyst,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
1016,Sr Staff Program Manager,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
2922,Sr Tree Maintenance Worker,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
4138,SRF Quality Assurance Manager,EX,MAR25_12,$41.66,$52.63,$63.59,"$86,652.80","$109,460.00","$132,267.20"
4212,Staff Accounting/Auditing Specialist,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1509,Staff Admin/Management Specialist,NEX,52,$24.54,$35.17,$45.79,"$51,043.20","$73,143.20","$95,243.20"
4421,Staff Financial Analyst,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1102,Staff Human Resources Manager,EX,MAR35_14,$50.11,$63.32,$76.53,"$104,228.80","$131,705.60","$159,182.40"
1104,Staff Human Resources/OD Specialist,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1005,Staff IT Technician,NEX,MAR20_7,$28.05,$35.44,$42.82,"$58,344.00","$73,704.80","$89,065.60"
4413,Staff Management & Budget Specialist,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1173,Staff Safety Specialist,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1124,Staff Senior Human Resources Specialist,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
1125,Staff Support Technician,NEX,51,$19.11,$28.30,$37.48,"$39,748.80","$58,853.60","$77,958.40"
1011,Staff Technology Support Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
2529,Stationary Watch Engineer,NEX,MAR30_8,$32.90,$41.56,$50.22,"$68,432.00","$86,444.80","$104,457.60"
8106,Stormwater Infrastructure Program Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
8412,Stormwater Management Program Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
8355,Structural Engineer I,NEX,MAR35_9,$36.77,$46.48,$56.19,"$76,481.60","$96,678.40","$116,875.20"
8359,Structural Engineer II,NEX,MAR45_9,$39.50,$49.93,$60.35,"$82,160.00","$103,844.00","$125,528.00"
1983,Student Assistant I,NEX,SA_1,$12.00,$13.88,$15.75,"$24,960.00","$28,860.00","$32,760.00"
1984,Student Assistant II,NEX,SA_2,$12.00,$15.72,$19.43,"$24,960.00","$32,687.20","$40,414.40"
1985,Summer Recreation Assistant I,NEX,SRA1,$15.00,$17.18,$19.35,"$31,200.00","$35,724.00","$40,248.00"
1986,Summer Recreation Assistant II,NEX,SRA2,$16.00,$20.96,$25.92,"$33,280.00","$43,596.80","$53,913.60"
1324,Supply Assistant III,NEX,3,$15.65,$19.78,$23.91,"$32,552.00","$41,142.40","$49,732.80"
1325,Supply Assistant IV,NEX,4,$17.37,$21.94,$26.51,"$36,129.60","$45,635.20","$55,140.80"
8356,Survey Instrument Operator,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
8357,Survey Party Chief I,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
1046,Systems Administrator,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
143,Talent Management Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4314,Tax Assessor (Call Center),NEX,MAR5_6,$22.40,$28.31,$34.22,"$46,592.00","$58,884.80","$71,177.60"
4313,Tax Assessor (DMV Select),NEX,MAR5_6,$22.40,$28.31,$34.22,"$46,592.00","$58,884.80","$71,177.60"
4315,Tax Assessor Supervisor,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
4322,Tax Auditor II,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
4323,Tax Auditor III,EX,MAR5_10,$30.74,$38.84,$46.93,"$63,939.20","$80,776.80","$97,614.40"
4312,Tax Specialist I,NEX,MAR5_7,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
4311,Tax Specialist II,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
1020,Technology Business Relationship Management Coordinator,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
1041,Technology Manager,EX,MAR35_17,$57.03,$72.07,$87.11,"$118,622.40","$149,905.60","$181,188.80"
1045,Technology Manager II,EX,MAR40_20,$66.34,$83.83,$101.32,"$137,987.20","$174,366.40","$210,745.60"
1039,Technology Program Manager,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
1027,Technology Systems Analyst,EX,MAR25_11,$39.12,$49.45,$59.77,"$81,369.60","$102,845.60","$124,321.60"
134,Telecommunications & Network Engineering Div Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3421,Theater Technician I,NEX,MAR5_4,$18.25,$23.05,$27.84,"$37,960.00","$47,933.60","$57,907.20"
3422,Theater Technician II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
2980,Trades Manager/Leader I,NEX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
2982,Trades Manager/Leader II,NEX,MAR10_13,$38.79,$49.01,$59.23,"$80,683.20","$101,940.80","$123,198.40"
2150,Trades Worker I,NEX,MAR10_2,$15.35,$19.40,$23.44,"$31,928.00","$40,341.60","$48,755.20"
2151,Trades Worker II,NEX,MAR10_3,$17.22,$21.77,$26.31,"$35,817.60","$45,271.20","$54,724.80"
2152,Trades Worker III,NEX,MAR10_4,$19.11,$24.14,$29.17,"$39,748.80","$50,211.20","$60,673.60"
2153,Trades Worker IV,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
8104,Traffic Engineering Manager,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
5120,Traffic Safety Specialist I,NEX,MAR35_4,$23.46,$29.63,$35.79,"$48,796.80","$61,620.00","$74,443.20"
5121,Traffic Safety Specialist II,NEX,MAR45_4,$25.19,$31.82,$38.45,"$52,395.20","$66,185.60","$79,976.00"
5010,Traffic Safety Supervisor,NEX,MAR15_8,$29.10,$36.76,$44.42,"$60,528.00","$76,460.80","$92,393.60"
2721,Traffic Service Technician I,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
2715,Traffic Service Technician II,NEX,MAR15_6,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
2723,Traffic Sign Fabricator,NEX,MAR15_6,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
8406,Transit Capital Program Manager,EX,90,$48.25,$62.75,$77.25,"$100,360.00","$130,520.00","$160,680.00"
8121,Transit Services Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
3616,Transportation and Development Master Planner,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
8130,Transportation Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
207,Transportation Engineering & Operations Bureau Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
2977,Transportation Engineering & Ops Assistant Bureau Chief,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
8126,Transportation Planning & Analysis Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
